N.º de pedido,Fecha de pedido,Nombre,Apellidos,Correo electrónico,Cantidad,Tipo de entrada,Tipo de pedido,Total pagado,Tarifas de Eventbrite,Procesamiento de pagos de Eventbrite,Estado del asistente,Gender,Age,Job position,Business / Organization,"Remember, the day of the event you will have to show us a valid EU Digital COVID certificate, which one do you have?",9:30 - 11:00 Workshop 1,11:30 - 13:00 Workshop 2,14:00 - 15:30 Workshop 3,16:00 - 17:30 Workshop 4,Do you have any food needs/restrictions:,Comments,"For attendees participating all day, we will provide a free lunch box including a sandwich, salad and dessert. If this is your case, will you stay for lunch?",*
2287660339,2021-11-19 11:28:16+01:00,Arthur,Saavedra,asaavedra@gmail.com,1,PyBCN Member,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,IT related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2287697549,2021-11-19 11:38:55+01:00,Brandon,Robbin,brobbin@gmail.com,1,PyBCN Member,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,Science related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2287725589,2021-11-19 11:47:13+01:00,Jonathan,Koester,jkoester@gmail.com,1,PyBCN Member,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,50 - 55,IT related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Introduction to Django - Vincent Choubard (Room Gòtica),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2287730469,2021-11-19 11:48:36+01:00,Eula,Campbell,ecampbell@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Non-binary,25 - 30,Science related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- I won't assist,No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2287750139,2021-11-19 11:54:23+01:00,Gary,Odaniel,godaniel@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Prefer not to say,40 -45,Science related,Google,Vaccination certificate,'- I won't assist,'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- I won't assist,'- The moons of Jupyter: widgets ecosystem - Mariana Meireles (Room Guinardó),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2287917099,2021-11-19 12:41:25+01:00,Chad,Orozco,corozco@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,Science related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2288075229,2021-11-19 13:22:49+01:00,Leonard,Wagner,lwagner@gmail.com,1,PyBCN Member,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,35 - 40,IT related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Keeping sync between datasets with Diffsync - Christian Adell (Room Raval),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2288407989,2021-11-19 14:40:21+01:00,Renee,Powell,rpowell@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,25 - 30,Other,Google,Vaccination certificate,'- I won't assist,'- Introduction to Django - Vincent Choubard (Room Gòtica),'- I won't assist,'- I won't assist,Vegan,,"No, thanks",
2289166599,2021-11-19 16:45:32+01:00,Carl,Byrum,cbyrum@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,35 - 40,IT related,Google,Vaccination certificate,'- I won't assist,'- I won't assist,'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"No, thanks",
2290015439,2021-11-19 18:48:14+01:00,Jonathan,Phillips,jphillips@gmail.com,1,PyBCN Member,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,IT related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2294050159,2021-11-20 14:13:02+01:00,Marty,Rucker,mrucker@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,25 - 30,IT related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- I won't assist,'- I won't assist,Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2299025889,2021-11-21 19:24:16+01:00,William,Land,wland@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,35 - 40,IT related,Google,Negative test result certificate,'- Build a chat application that lets you speak multiple languages - Diego Gonzalez (Room Guinardó),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- I won't assist,'- I won't assist,Vegan,,"No, thanks",
2299040519,2021-11-21 19:28:33+01:00,Bobby,Bass,bbass@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,35 - 40,IT related,Google,Vaccination certificate,'- Build a chat application that lets you speak multiple languages - Diego Gonzalez (Room Guinardó),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"No, thanks",
2299652589,2021-11-21 22:34:38+01:00,Timothy,Mcentyre,tmcentyre@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,25 - 30,Science related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- The moons of Jupyter: widgets ecosystem - Mariana Meireles (Room Guinardó),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2300303649,2021-11-22 02:06:47+01:00,Jennifer,Bieber,jbieber@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,30 -35,Science related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- I won't assist,'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),Other,Sin lactosa pero queso si :) solo soy especialita con la leche y la nata,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301126719,2021-11-22 08:34:55+01:00,Avery,Blackwell,ablackwell@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,IT related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- The moons of Jupyter: widgets ecosystem - Mariana Meireles (Room Guinardó),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301133679,2021-11-22 08:38:42+01:00,Gary,Moore,gmoore@gmail.com,1,Speaker,Pedido gratuito,0.0,0.0,0.0,Asistiré,Prefer not to say,30 -35,IT related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301138499,2021-11-22 08:41:15+01:00,David,Helquist,dhelquist@gmail.com,1,Sponsor,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,25 - 30,Science related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- Keeping sync between datasets with Diffsync - Christian Adell (Room Raval),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301179689,2021-11-22 09:00:58+01:00,Frederick,Kimball,fkimball@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,25 - 30,IT related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301179889,2021-11-22 09:01:03+01:00,Anthony,Schryer,aschryer@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,20 - 25,IT related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301180249,2021-11-22 09:01:12+01:00,Thomas,Laughlin,tlaughlin@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,25 - 30,IT related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301180369,2021-11-22 09:01:17+01:00,Theron,Marsh,tmarsh@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,25 - 30,IT related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),Vegan,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301180689,2021-11-22 09:01:28+01:00,Adam,Licht,alicht@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,35 - 40,Other,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Introduction to Django - Vincent Choubard (Room Gòtica),'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- The moons of Jupyter: widgets ecosystem - Mariana Meireles (Room Guinardó),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301180909,2021-11-22 09:01:35+01:00,Ana,Bohl,abohl@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,35 - 40,Science related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301181149,2021-11-22 09:01:39+01:00,Deanna,Smith,dsmith@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,30 -35,Other,Google,Vaccination certificate,'- Build a chat application that lets you speak multiple languages - Diego Gonzalez (Room Guinardó),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Causal Data Science workshop - Jordi Mur (Room Guinardó),'- Signal Processing - From Neurons to Mars! - Vivek Sharma (Room Gòtica),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301181199,2021-11-22 09:01:42+01:00,James,Halseth,jhalseth@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,20 - 25,IT related,Google,Vaccination certificate,'- Implementing your API with FASTAPI - Esperanza Buitrago (Room Gòtica),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- I won't assist,No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301182359,2021-11-22 09:02:13+01:00,Calvin,Torres,ctorres@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,20 - 25,IT related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- Building a DAG Factory - Albert Franzi Cros & Burnout Paradise: buenas prácticas para evitar el burnout en desarrollo - Alejandro Nicolás (Room Raval),'- Keeping sync between datasets with Diffsync - Christian Adell (Room Raval),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301182479,2021-11-22 09:02:16+01:00,Steven,Mchale,smchale@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,20 - 25,IT related,Google,Vaccination certificate,'- Building the Cloud with Python: getting started with AWS CDK - Anton Caceres (Sala Raval),'- Vector search engines with Python: from embeddings to similarity search - Gabriel de Maeztu (Room Guinardó),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- Keeping sync between datasets with Diffsync - Christian Adell (Room Raval),Other,Nut alergy.,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301182689,2021-11-22 09:02:22+01:00,Thomas,Looney,tlooney@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Male,30 -35,IT related,Google,Vaccination certificate,'- Build a chat application that lets you speak multiple languages - Diego Gonzalez (Room Guinardó),'- Microservicios en la vida moderna. Un enfoque python-centrico - Antonio Molina (Room Raval),'- How to beat imposter syndrome: confessions of a developer - Matteo Bruno (Room Gòtica),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),No special needs,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
2301182729,2021-11-22 09:02:24+01:00,Mary,Riley,mriley@gmail.com,1,General,Pedido gratuito,0.0,0.0,0.0,Asistiré,Female,20 - 25,IT related,Google,Vaccination certificate,'- How to create Data apps with Python - Sergi Ortiz (Room Actes),'- Creating cute user interfaces in python with Qt - Elisabeth Ortega (Room Actes),'- Making MLOps uncool again - David de la Iglesia Castro (Room Actes),'- Build a Machine Learning IoT Device running Python - Marc Pous (Room Actes),Vegetarian,,"Yes, please",The organization reserves the right to notify you in advance that you can not stay for lunch if you don’t fit the specificities and we exceed the maximum venue COVID capacity.
